loan_id,segment,monthly_income,loan_amount,interest_rate,tenure_months,defaulted
H00050,salaried,54354.0,200000.0,24.2,6,1
H00051,student,14852.0,59500.0,23.2,18,0
H00052,salaried,39005.0,200000.0,29.8,3,0
H00053,student,10213.0,44500.0,21.6,24,1
H00054,student,12622.0,47900.0,25.2,3,0
H00055,student,4498.0,12400.0,30.9,12,0
H00056,student,7773.0,18600.0,18.1,9,0
H00057,salaried,30285.0,95200.0,31.9,24,0
H00058,student,15741.0,25900.0,31.2,6,0
H00059,salaried,72468.0,200000.0,25.0,3,0
H00060,salaried,36273.0,117600.0,22.5,9,0
H00061,salaried,34581.0,19900.0,27.7,6,1
H00062,salaried,34115.0,88800.0,23.3,18,1
H00063,salaried,39682.0,79100.0,32.8,3,0
H00064,student,14606.0,57700.0,28.6,6,1
H00065,salaried,44653.0,200000.0,23.5,24,0
H00066,student,18156.0,69700.0,32.5,12,0
H00067,salaried,44993.0,185300.0,28.9,3,0
H00068,student,9154.0,35100.0,20.4,3,0
H00069,salaried,45874.0,84200.0,25.5,12,0
H00070,student,22242.0,55800.0,26.8,12,0
H00071,salaried,21790.0,111700.0,35.0,6,0
H00072,student,20796.0,118500.0,23.8,24,1
H00073,salaried,41035.0,58100.0,26.1,3,0
H00074,salaried,38599.0,17700.0,35.6,24,0
H00075,student,11992.0,69400.0,25.7,3,1
H00076,salaried,54329.0,200000.0,32.9,12,0
H00077,salaried,36580.0,139100.0,19.7,24,1
H00078,salaried,35867.0,178400.0,25.1,24,0
H00079,salaried,38428.0,143300.0,21.3,24,0
H00080,student,14576.0,79700.0,33.9,6,0
H00081,student,16631.0,29300.0,27.9,18,1
H00082,salaried,24206.0,69900.0,21.9,6,0
H00083,salaried,28965.0,120400.0,19.7,6,0
H00084,student,6293.0,10100.0,25.6,9,0
H00085,salaried,44038.0,193900.0,19.7,9,0
H00086,salaried,36727.0,68700.0,26.7,12,0
H00087,salaried,33965.0,148600.0,31.1,3,0
H00088,student,21583.0,105800.0,23.6,18,0
H00089,salaried,41183.0,114300.0,21.0,9,0
H00090,student,19065.0,113300.0,24.5,9,0
H00091,student,9494.0,37400.0,21.0,18,0
H00092,salaried,63326.0,200000.0,33.2,3,0
H00093,salaried,53816.0,27700.0,19.7,12,0
H00094,salaried,35659.0,36800.0,31.3,18,0
H00095,student,16268.0,71300.0,24.0,24,0
H00096,salaried,21477.0,122000.0,31.1,6,1
H00097,student,23936.0,93800.0,31.9,3,0
H00098,student,10364.0,57100.0,20.4,24,1
H00099,student,14444.0,10600.0,31.6,12,0
H00100,student,17301.0,93300.0,35.0,6,1
H00101,salaried,34788.0,184800.0,28.2,24,0
H00102,salaried,43392.0,170200.0,29.6,6,0
H00103,salaried,12108.0,34000.0,23.8,6,0
H00104,salaried,48935.0,200000.0,21.1,3,0
H00105,salaried,22130.0,39100.0,31.4,18,0
H00106,student,14340.0,59300.0,32.8,6,0
H00107,salaried,36220.0,155300.0,21.7,18,0
H00108,salaried,25813.0,88400.0,20.0,12,0
H00109,student,19386.0,36000.0,24.3,12,0
H00110,salaried,27915.0,11500.0,29.3,6,0
H00111,salaried,41833.0,62600.0,24.6,9,0
H00112,salaried,50260.0,200000.0,35.4,3,0
H00113,student,9651.0,15300.0,32.2,9,1
H00114,salaried,28077.0,22900.0,34.5,12,0
H00115,student,9699.0,17300.0,28.8,24,0
H00116,salaried,29112.0,96300.0,31.6,18,0
H00117,salaried,48297.0,177900.0,35.1,3,0
H00118,student,25111.0,133400.0,18.6,3,0
H00119,salaried,59337.0,200000.0,28.3,24,0
H00120,salaried,35213.0,200000.0,21.4,9,0
H00121,student,15605.0,83500.0,32.3,9,0
H00122,salaried,46752.0,136600.0,22.2,3,0
H00123,salaried,56457.0,67400.0,31.3,3,0
H00124,salaried,46796.0,200000.0,24.0,3,0
H00125,salaried,56738.0,95400.0,29.7,9,0
H00126,student,14755.0,57300.0,30.2,9,0
H00127,student,22043.0,41500.0,34.4,9,0
H00128,student,15936.0,79300.0,33.7,6,1
H00129,student,11637.0,17700.0,25.9,9,0
H00130,student,16386.0,45200.0,30.4,24,0
H00131,salaried,44306.0,72200.0,21.3,18,0
H00132,salaried,43217.0,200000.0,19.8,3,0
H00133,student,17440.0,67500.0,30.9,3,0
H00134,student,12392.0,48700.0,34.3,12,0
H00135,salaried,52886.0,114300.0,31.4,9,0
H00136,salaried,23623.0,32800.0,27.3,18,0
H00137,salaried,51095.0,200000.0,29.3,3,0
H00138,salaried,46881.0,200000.0,31.1,9,0
H00139,salaried,45886.0,200000.0,28.2,24,0
H00140,salaried,11109.0,66500.0,24.5,12,0
H00141,salaried,40555.0,143300.0,33.3,18,0
H00142,salaried,51076.0,71500.0,24.6,6,0
H00143,salaried,31319.0,119400.0,34.3,3,0
H00144,salaried,43264.0,86900.0,32.4,6,0
H00145,salaried,8707.0,28500.0,32.3,18,0
H00146,salaried,51400.0,152800.0,33.0,3,0
H00147,student,11804.0,42000.0,35.8,6,0
H00148,salaried,54199.0,200000.0,35.8,24,0
H00149,salaried,16201.0,80000.0,27.0,12,0
H00150,salaried,51692.0,140900.0,24.8,3,0
H00151,student,8499.0,42300.0,31.2,12,0
H00152,salaried,53306.0,200000.0,35.4,3,1
H00153,salaried,29040.0,137500.0,29.3,24,1
H00154,salaried,33342.0,116300.0,18.5,18,0
H00155,salaried,73394.0,200000.0,18.7,24,0
H00156,salaried,30381.0,95900.0,26.4,9,0
H00157,student,18570.0,18400.0,32.2,3,0
H00158,student,11777.0,22700.0,34.0,12,0
H00159,student,16775.0,68500.0,24.8,12,0
H00160,student,14841.0,37400.0,27.3,6,0
H00161,student,12320.0,34100.0,27.2,6,0
H00162,salaried,32143.0,85300.0,19.7,3,0
H00163,salaried,17836.0,26300.0,18.0,24,0
H00164,student,15149.0,14000.0,27.4,18,0
H00165,salaried,57517.0,38800.0,27.1,6,0
H00166,salaried,53503.0,200000.0,33.5,3,0
H00167,salaried,58191.0,128900.0,21.3,24,0
H00168,salaried,29855.0,88300.0,33.3,6,0
H00169,student,19425.0,109500.0,22.9,6,0
H00170,salaried,22622.0,88400.0,27.7,18,0
H00171,salaried,22146.0,109400.0,30.7,3,0
H00172,salaried,55735.0,200000.0,20.6,6,0
H00173,salaried,32593.0,187100.0,35.0,6,0
H00174,student,19042.0,14700.0,35.2,24,0
H00175,student,13409.0,34200.0,35.5,18,0
H00176,salaried,33034.0,188900.0,18.0,6,0
H00177,salaried,53170.0,159600.0,29.6,9,1
H00178,salaried,67218.0,200000.0,30.1,12,0
H00179,salaried,48806.0,70000.0,33.8,6,0
H00180,student,18322.0,13500.0,21.6,12,0
H00181,salaried,47194.0,200000.0,20.2,24,0
H00182,salaried,61258.0,165600.0,32.6,12,0
H00183,salaried,35095.0,113900.0,22.7,3,0
H00184,salaried,31169.0,175900.0,19.2,18,0
H00185,salaried,56230.0,91600.0,19.7,9,0
H00186,student,14611.0,85100.0,29.6,3,0
H00187,student,20137.0,52800.0,27.6,6,0
H00188,student,4000.0,7100.0,31.5,12,0
H00189,student,18169.0,31000.0,32.5,9,0
H00190,student,9830.0,32500.0,18.0,18,1
H00191,student,19793.0,59700.0,34.8,12,0
H00192,salaried,58106.0,200000.0,33.8,3,0
H00193,student,10556.0,7200.0,34.8,18,0
H00194,salaried,20111.0,13000.0,31.8,12,0
H00195,student,10443.0,13100.0,24.9,12,0
H00196,salaried,54557.0,200000.0,22.5,9,0
H00197,student,7164.0,34200.0,34.4,9,0
H00198,student,14866.0,45900.0,25.6,9,0
H00199,salaried,34306.0,131600.0,26.8,9,0
H00200,salaried,28688.0,114700.0,30.6,12,0
H00201,salaried,55021.0,28000.0,30.4,6,0
H00202,salaried,27083.0,48200.0,30.5,12,0
H00203,salaried,11766.0,70500.0,29.2,18,0
H00204,student,14534.0,32700.0,27.2,18,0
H00205,salaried,31861.0,181600.0,31.8,18,0
H00206,student,20292.0,64100.0,25.1,24,0
H00207,salaried,22428.0,36900.0,22.7,9,0
H00208,salaried,23443.0,9700.0,34.4,12,0
H00209,salaried,25808.0,41800.0,33.2,24,0
H00210,student,15414.0,33900.0,30.9,24,0
H00211,student,10498.0,30000.0,21.0,9,1
H00212,student,20140.0,58500.0,18.8,12,1
H00213,student,12998.0,45100.0,34.6,18,0
H00214,salaried,25452.0,77800.0,35.0,6,0
H00215,salaried,27072.0,15800.0,22.9,12,0
H00216,student,16794.0,31800.0,29.3,3,1
H00217,salaried,40955.0,200000.0,18.3,12,1
H00218,salaried,20490.0,11300.0,25.1,3,0
H00219,student,25104.0,113200.0,30.7,6,1
H00220,salaried,29951.0,91900.0,24.5,6,0
H00221,salaried,45462.0,198200.0,32.5,18,0
H00222,student,19796.0,44800.0,34.4,3,0
H00223,salaried,61759.0,152700.0,20.5,12,0
H00224,salaried,35621.0,117300.0,30.4,18,0
H00225,salaried,56113.0,200000.0,24.8,6,0
H00226,student,15306.0,34300.0,21.1,18,0
H00227,salaried,57710.0,50800.0,24.3,12,0
H00228,salaried,31318.0,19200.0,26.7,12,0
H00229,salaried,36929.0,197100.0,34.1,3,0
H00230,salaried,68544.0,147800.0,31.8,9,0
H00231,student,4000.0,5000.0,18.1,6,0
H00232,salaried,43537.0,162800.0,19.0,9,0
H00233,salaried,73389.0,200000.0,35.9,24,0
H00234,salaried,47059.0,176800.0,28.0,6,0
H00235,student,13903.0,17400.0,29.0,9,1
H00236,student,16363.0,43700.0,24.3,24,0
H00237,salaried,25456.0,48200.0,33.0,9,0
H00238,student,6257.0,5000.0,28.0,3,0
H00239,salaried,58884.0,200000.0,28.7,18,1
H00240,salaried,33979.0,101000.0,22.5,6,0
H00241,student,10166.0,11700.0,32.0,12,0
H00242,student,22954.0,122900.0,21.9,12,1
H00243,salaried,42198.0,200000.0,20.5,9,0
H00244,salaried,28312.0,140700.0,28.8,6,0
H00245,student,8142.0,14800.0,33.0,24,0
H00246,student,16496.0,24200.0,23.3,24,0
H00247,student,13401.0,44800.0,23.4,9,0
H00248,salaried,36345.0,133300.0,20.7,9,0
H00249,salaried,38174.0,200000.0,28.9,12,1
H00250,student,23781.0,138300.0,31.9,9,1
H00251,student,15974.0,87800.0,20.3,12,0
H00252,salaried,50239.0,116300.0,27.6,3,0
H00253,student,10133.0,37300.0,27.7,24,0
H00254,student,17917.0,19600.0,19.9,6,0
H00255,student,13770.0,45500.0,27.5,9,0
H00256,salaried,25436.0,20300.0,22.9,12,0
H00257,student,14781.0,15100.0,21.6,6,0
H00258,salaried,28506.0,30900.0,35.7,6,0
H00259,salaried,42899.0,89600.0,19.6,9,0
H00260,student,13517.0,28800.0,24.2,3,0
H00261,student,19407.0,84400.0,29.1,6,0
H00262,salaried,63846.0,52700.0,25.3,12,0
H00263,student,11039.0,11300.0,18.3,3,0
H00264,student,13671.0,55700.0,33.6,6,0
H00265,student,8100.0,33800.0,22.3,24,1
H00266,student,15595.0,68300.0,25.4,24,0
H00267,salaried,57735.0,200000.0,34.4,6,1
H00268,student,20725.0,85200.0,35.5,18,0
H00269,student,9455.0,33000.0,34.5,12,0
H00270,salaried,53849.0,200000.0,25.4,18,1
H00271,salaried,52030.0,44600.0,31.4,6,0
H00272,student,20022.0,31800.0,33.3,24,0
H00273,salaried,47568.0,200000.0,21.6,12,0
H00274,salaried,45263.0,66900.0,35.5,18,0
H00275,student,19424.0,65500.0,19.8,18,0
H00276,salaried,55863.0,103800.0,29.8,6,0
H00277,student,13131.0,37000.0,22.3,3,0
H00278,salaried,66300.0,200000.0,21.9,12,0
H00279,salaried,40513.0,166100.0,20.5,9,0
H00280,salaried,55795.0,161400.0,35.0,6,0
H00281,salaried,40737.0,78700.0,20.3,3,0
H00282,student,18749.0,92000.0,34.4,6,0
H00283,student,11850.0,48300.0,21.0,18,0
H00284,salaried,37669.0,107900.0,23.9,6,1
H00285,salaried,24119.0,127100.0,21.8,18,1
H00286,student,20865.0,89300.0,35.8,3,0
H00287,student,9244.0,54500.0,19.7,24,1
H00288,salaried,72173.0,200000.0,33.5,6,0
H00289,salaried,44895.0,200000.0,23.4,18,0
H00290,salaried,55086.0,191800.0,35.1,6,0
H00291,student,10234.0,44800.0,31.5,6,0
H00292,student,14452.0,74000.0,22.7,18,0
H00293,salaried,51401.0,46600.0,27.2,3,0
H00294,salaried,67223.0,200000.0,20.9,6,0
H00295,salaried,32252.0,122300.0,25.3,12,1
H00296,salaried,50449.0,36500.0,18.5,3,0
H00297,salaried,46236.0,200000.0,30.3,6,1
H00298,salaried,27696.0,122100.0,28.7,9,0
H00299,salaried,41728.0,200000.0,22.9,12,0
H00300,student,16357.0,40600.0,18.2,6,0
H00301,salaried,9445.0,28600.0,34.9,12,0
H00302,student,20684.0,113900.0,20.2,18,1
H00303,salaried,49563.0,134000.0,23.9,9,1
H00304,salaried,35855.0,181900.0,18.5,6,0
H00305,salaried,23260.0,64200.0,24.9,6,0
H00306,salaried,62718.0,143700.0,25.2,12,0
H00307,student,16104.0,31400.0,27.6,3,0
H00308,salaried,56234.0,89700.0,23.8,6,0
H00309,student,11795.0,33200.0,22.5,3,0
H00310,salaried,34707.0,45300.0,32.1,9,0
H00311,salaried,53370.0,200000.0,23.0,18,0
H00312,student,11599.0,67900.0,24.0,24,0
H00313,salaried,41124.0,38900.0,26.8,12,0
H00314,salaried,40801.0,28800.0,22.9,6,0
H00315,student,7688.0,5000.0,31.1,3,0
H00316,salaried,57595.0,200000.0,19.5,12,0
H00317,salaried,43734.0,35600.0,23.8,6,0
H00318,student,18919.0,79600.0,25.6,9,0
H00319,student,16105.0,33800.0,22.6,12,0
H00320,salaried,46778.0,70600.0,33.1,3,0
H00321,salaried,29472.0,52400.0,24.4,3,0
H00322,student,13937.0,59400.0,25.6,3,0
H00323,salaried,41268.0,20700.0,26.4,24,0
H00324,salaried,34078.0,178700.0,32.9,24,0
H00325,salaried,40341.0,144400.0,21.9,6,0
H00326,student,12794.0,22000.0,32.9,9,0
H00327,student,8989.0,14100.0,35.1,12,0
H00328,salaried,60607.0,200000.0,22.8,18,0
H00329,student,10529.0,41300.0,21.0,9,1
H00330,student,14096.0,30800.0,32.2,9,1
H00331,salaried,72671.0,165000.0,23.6,18,0
H00332,salaried,46521.0,139300.0,22.1,24,0
H00333,salaried,40784.0,200000.0,19.4,3,0
H00334,student,16780.0,57300.0,29.0,6,0
H00335,salaried,46283.0,200000.0,34.9,18,0
H00336,student,14363.0,57300.0,33.9,9,0
H00337,salaried,41734.0,148100.0,28.6,6,0
H00338,student,18796.0,59100.0,25.9,12,0
H00339,salaried,29652.0,124900.0,35.6,3,0
H00340,student,21704.0,68400.0,29.9,18,0
H00341,student,15170.0,67700.0,35.2,9,0
H00342,student,11256.0,16000.0,30.4,3,0
H00343,salaried,37372.0,82400.0,30.5,24,0
H00344,salaried,41185.0,200000.0,30.6,9,0
H00345,student,15801.0,41300.0,20.3,18,0
H00346,salaried,59575.0,200000.0,22.5,9,0
H00347,salaried,26434.0,149400.0,19.2,3,0
H00348,salaried,37154.0,135200.0,34.8,12,0
H00349,student,4000.0,5000.0,35.9,3,0
H00350,student,11345.0,52600.0,28.9,3,0
H00351,student,4957.0,20500.0,20.8,24,0
H00352,student,14801.0,30000.0,20.2,12,0
H00353,student,20296.0,106200.0,26.0,6,1
H00354,salaried,36597.0,113600.0,25.0,18,0
H00355,student,8312.0,6000.0,21.5,12,0
H00356,student,11189.0,8700.0,19.6,18,0
H00357,salaried,63223.0,106100.0,29.7,12,0
H00358,salaried,14970.0,57100.0,32.3,6,0
H00359,student,15021.0,74600.0,19.1,9,1
H00360,salaried,36146.0,34500.0,23.6,9,0
H00361,student,27264.0,14300.0,23.4,6,0
H00362,salaried,28675.0,111400.0,27.8,6,0
H00363,student,15697.0,42300.0,28.9,12,0
H00364,salaried,27446.0,78900.0,25.4,9,0
H00365,salaried,51754.0,200000.0,33.6,9,0
H00366,salaried,43390.0,200000.0,25.0,9,0
H00367,student,9706.0,56500.0,23.5,6,1
H00368,salaried,47183.0,200000.0,31.8,24,0
H00369,salaried,38549.0,16100.0,33.2,18,0
H00370,student,14693.0,18300.0,33.8,3,0
H00371,student,15481.0,57100.0,21.0,18,0
H00372,student,26705.0,153500.0,21.5,24,1
H00373,salaried,39843.0,34100.0,26.3,18,0
H00374,salaried,55789.0,183200.0,35.4,3,0
H00375,student,14178.0,37200.0,29.2,6,0
H00376,salaried,26708.0,71500.0,29.2,3,0
H00377,student,20234.0,38500.0,23.9,3,0
H00378,salaried,63662.0,122000.0,35.8,6,0
H00379,salaried,61864.0,107300.0,21.3,24,0
H00380,salaried,31662.0,31000.0,28.1,6,0
H00381,student,10369.0,36300.0,30.1,12,0
H00382,student,17682.0,51200.0,32.6,24,0
H00383,salaried,35026.0,153900.0,32.6,24,0
H00384,student,9923.0,39500.0,25.0,24,0
H00385,student,13136.0,75300.0,22.9,3,0
H00386,salaried,24077.0,55400.0,35.6,24,0
H00387,salaried,25055.0,133800.0,28.0,12,0
H00388,salaried,54825.0,140100.0,23.1,9,0
H00389,salaried,32435.0,133000.0,20.5,18,0
H00390,salaried,40999.0,200000.0,32.5,3,0
H00391,salaried,50807.0,133200.0,33.3,12,0
H00392,salaried,53385.0,154700.0,28.3,12,0
H00393,salaried,37282.0,146700.0,24.9,3,0
H00394,salaried,42618.0,43500.0,29.9,24,0
H00395,student,16096.0,54400.0,35.6,3,1
H00396,student,13128.0,12200.0,28.4,3,0
H00397,salaried,51099.0,84800.0,32.2,9,0
H00398,student,14695.0,57100.0,33.9,18,0
H00399,salaried,42057.0,200000.0,31.6,9,0
H00400,salaried,51990.0,200000.0,26.8,3,1
H00401,student,5611.0,10400.0,21.2,12,0
H00402,salaried,67608.0,82400.0,30.5,18,0
H00403,student,10724.0,35400.0,33.0,9,0
H00404,salaried,34450.0,98900.0,35.3,9,0
H00405,student,16135.0,40700.0,20.7,24,0
H00406,salaried,24058.0,113200.0,20.0,24,0
H00407,salaried,45492.0,199000.0,29.5,12,0
H00408,salaried,44114.0,156400.0,32.9,24,0
H00409,student,19620.0,76100.0,19.4,6,0
H00410,salaried,43366.0,158600.0,29.1,3,0
H00411,salaried,12694.0,53200.0,22.8,12,0
H00412,salaried,32591.0,182400.0,36.0,9,1
H00413,salaried,43573.0,200000.0,24.5,6,0
H00414,salaried,24416.0,143700.0,19.5,6,1
H00415,salaried,29859.0,155700.0,32.1,9,0
H00416,salaried,36881.0,36400.0,23.4,9,0
H00417,salaried,46785.0,137100.0,25.5,18,0
H00418,student,12347.0,59000.0,20.3,3,0
H00419,salaried,29551.0,60500.0,24.0,6,0
H00420,student,6292.0,23900.0,20.4,9,0
H00421,salaried,34445.0,24400.0,22.6,18,1
H00422,salaried,35010.0,53900.0,28.4,9,0
H00423,student,19442.0,51400.0,23.4,9,0
H00424,salaried,30996.0,24600.0,30.0,3,0
H00425,student,14598.0,40500.0,34.2,24,0
H00426,salaried,19353.0,32700.0,28.4,9,0
H00427,salaried,41004.0,200000.0,18.5,18,0
H00428,salaried,52048.0,113700.0,35.3,24,0
H00429,salaried,36720.0,93000.0,21.6,3,0
H00430,salaried,45357.0,200000.0,24.2,3,0
H00431,salaried,26365.0,93200.0,27.5,3,0
H00432,student,14838.0,10100.0,29.1,24,0
H00433,salaried,57415.0,92900.0,24.2,9,0
H00434,salaried,45297.0,173100.0,25.9,9,0
H00435,salaried,17429.0,26400.0,29.3,3,0
H00436,student,9014.0,16100.0,26.2,6,0
H00437,salaried,55674.0,200000.0,23.1,6,0
H00438,salaried,65984.0,200000.0,25.4,24,0
H00439,salaried,46153.0,88000.0,24.9,18,0
H00440,student,18268.0,64500.0,23.3,9,1
H00441,salaried,33491.0,132300.0,28.8,12,0
H00442,student,13201.0,8200.0,27.2,9,0
H00443,student,11620.0,22500.0,25.4,3,0
H00444,salaried,47923.0,101700.0,30.8,9,0
H00445,student,16423.0,87400.0,32.6,18,1
H00446,salaried,55169.0,37900.0,29.7,24,0
H00447,salaried,60516.0,141800.0,24.1,18,0
H00448,salaried,25918.0,38600.0,34.9,3,0
H00449,salaried,23025.0,98800.0,19.9,18,0
H00450,salaried,46908.0,200000.0,32.5,6,0
H00451,salaried,32840.0,23700.0,25.6,3,0
H00452,salaried,8808.0,46100.0,25.1,6,0
H00453,salaried,53320.0,200000.0,33.2,9,0
H00454,salaried,44178.0,71400.0,29.8,3,0
H00455,salaried,35327.0,195300.0,35.5,12,0
H00456,salaried,71588.0,146100.0,33.8,24,0
H00457,salaried,43945.0,200000.0,20.1,24,0
H00458,student,10371.0,8500.0,27.1,9,0
H00459,salaried,43416.0,128200.0,31.8,6,0
H00460,student,18330.0,59200.0,19.5,12,0
H00461,salaried,31336.0,169900.0,27.8,6,0
H00462,salaried,47409.0,200000.0,35.9,24,0
H00463,salaried,34241.0,118500.0,22.3,9,0
H00464,student,16705.0,11500.0,20.1,9,0
H00465,salaried,65365.0,183500.0,23.2,12,1
H00466,student,11622.0,29100.0,24.2,6,0
H00467,salaried,53240.0,200000.0,23.1,24,0
H00468,salaried,49403.0,200000.0,25.8,12,0
H00469,salaried,48779.0,130200.0,33.0,3,0
H00470,salaried,62392.0,152400.0,27.3,12,0
H00471,student,12575.0,59100.0,28.6,9,0
H00472,student,9326.0,8700.0,20.0,6,0
H00473,salaried,28680.0,142700.0,19.2,3,0
H00474,salaried,38429.0,159800.0,35.1,6,0
H00475,salaried,22700.0,64400.0,24.2,12,0
H00476,salaried,37187.0,162800.0,35.1,9,0
H00477,salaried,49258.0,129400.0,24.0,12,0
H00478,salaried,62317.0,74900.0,29.5,18,1
H00479,salaried,32713.0,89500.0,29.9,9,0
H00480,student,12563.0,8600.0,19.6,3,0
H00481,student,10385.0,9200.0,19.3,12,0
H00482,student,15893.0,45400.0,26.0,24,0
H00483,salaried,25349.0,127300.0,20.3,18,1
H00484,salaried,42849.0,66000.0,23.3,6,0
H00485,student,16653.0,53400.0,21.5,18,0
H00486,salaried,43548.0,200000.0,23.6,6,0
H00487,student,29122.0,146600.0,26.2,3,1
H00488,salaried,32791.0,178700.0,23.6,3,0
H00489,salaried,27847.0,116400.0,24.0,18,0
H00490,salaried,22620.0,83700.0,26.7,9,0
H00491,student,14366.0,52600.0,30.3,24,0
H00492,student,18608.0,70100.0,18.8,9,1
H00493,salaried,63808.0,191700.0,36.0,3,0
H00494,salaried,50402.0,121900.0,25.8,18,0
H00495,salaried,36904.0,64100.0,34.6,12,0
H00496,student,11998.0,9200.0,18.1,24,0
H00497,salaried,56595.0,139600.0,19.0,24,0
H00498,student,17548.0,82700.0,19.8,6,0
H00499,salaried,28924.0,101100.0,34.4,6,0
H00500,student,21990.0,29000.0,25.4,18,0
H00501,salaried,56723.0,200000.0,33.2,9,0
H00502,salaried,46701.0,29500.0,30.5,6,0
H00503,salaried,69999.0,200000.0,19.6,3,0
H00504,salaried,34018.0,137800.0,24.5,9,0
H00505,salaried,49592.0,174300.0,24.0,6,0
H00506,salaried,24487.0,66400.0,26.2,3,0
H00507,student,7811.0,39200.0,31.6,6,0
H00508,salaried,31775.0,13900.0,19.5,24,0
H00509,student,10763.0,5300.0,34.7,3,0
H00510,student,21159.0,70100.0,26.6,9,0
H00511,salaried,40048.0,82600.0,24.6,9,0
H00512,salaried,68818.0,182300.0,30.6,18,0
H00513,student,20015.0,68200.0,23.0,9,0
H00514,salaried,41823.0,27000.0,30.8,3,0
H00515,salaried,50308.0,200000.0,25.5,12,0
H00516,salaried,64208.0,200000.0,26.6,18,0
H00517,student,15876.0,15100.0,21.4,12,0
H00518,salaried,56553.0,200000.0,21.7,6,0
H00519,student,14837.0,50200.0,33.5,24,0
H00520,salaried,37853.0,160800.0,28.4,9,0
H00521,student,6489.0,29400.0,25.6,12,0
H00522,salaried,42401.0,200000.0,31.9,18,0
H00523,student,10465.0,11100.0,34.4,6,0
H00524,salaried,58992.0,200000.0,20.9,6,0
H00525,salaried,22601.0,69400.0,36.0,3,1
H00526,salaried,58396.0,89100.0,18.3,12,1
H00527,student,18865.0,47000.0,29.1,9,0
H00528,salaried,40697.0,99300.0,22.7,24,0
H00529,student,20535.0,111200.0,22.5,18,0
H00530,student,11984.0,40000.0,26.9,3,0
H00531,student,18112.0,14000.0,28.9,12,0
H00532,student,15912.0,70100.0,25.9,9,1
H00533,salaried,46017.0,146700.0,30.9,3,0
H00534,salaried,55890.0,200000.0,35.1,6,0
H00535,salaried,34196.0,22600.0,21.0,18,0
H00536,student,22770.0,119400.0,22.3,3,0
H00537,student,16436.0,88800.0,29.0,9,0
H00538,student,16288.0,7300.0,25.4,9,0
H00539,salaried,44144.0,135600.0,23.7,18,0
H00540,salaried,36182.0,39100.0,27.1,9,0
H00541,salaried,58262.0,196000.0,30.5,12,0
H00542,salaried,51681.0,46500.0,34.4,12,0
H00543,salaried,4000.0,21500.0,34.9,9,0
H00544,salaried,42558.0,60800.0,32.8,24,0
H00545,salaried,21630.0,89600.0,24.2,12,0
H00546,student,28511.0,115800.0,33.9,18,0
H00547,student,18586.0,40800.0,30.8,24,0
H00548,salaried,34741.0,55600.0,21.1,9,0
H00549,salaried,43044.0,200000.0,35.2,18,0
H00550,student,10075.0,6300.0,22.5,9,0
H00551,salaried,46911.0,85500.0,30.3,9,0
